sightability_score,sightability_tier,scientific_name,common_name_en,common_name_es,category,phylum,class,order,family,has_photo,inat_observations,observation_count,wikipedia_url
70,common,Phymactis papillosa,,Poto de mar,cnidarians,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,yes,960,14,
70,common,Anthopleura hermaphroditica,Small Brown Sea Anemone,,cnidarians,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,yes,903,8,https://en.wikipedia.org/wiki/Anthopleura_hermaphroditica
70,common,Ovalipes trimaculatus,Rowing Crab,jaiba remadora,crustaceans,Arthropoda,Malacostraca,Decapoda,Ovalipidae,yes,869,1,https://en.wikipedia.org/wiki/Ovalipes_trimaculatus
70,common,Acanthina monodon,one-toothed thais,Caracol con diente,mollusks,Mollusca,Gastropoda,Neogastropoda,Muricidae,yes,491,6,http://en.wikipedia.org/wiki/Acanthina_monodon
70,common,Homalaspis plana,Purple crab,Jaiba mora,crustaceans,Arthropoda,Malacostraca,Decapoda,Platyxanthidae,yes,483,2,https://en.wikipedia.org/wiki/Homalaspis
70,common,Tegula atra,Smooth Black Tegula,Tegula negra,mollusks,Mollusca,Gastropoda,Trochida,Tegulidae,yes,463,5,http://en.wikipedia.org/wiki/Tegula_atra
70,common,Concholepas concholepas,barnacle rock shell,Loco,mollusks,Mollusca,Gastropoda,Neogastropoda,Muricidae,yes,423,15,http://en.wikipedia.org/wiki/Concholepas
70,common,Taliepus dentatus,Chilean Kelp Crab,Panchote,crustaceans,Arthropoda,Malacostraca,Decapoda,Epialtidae,yes,397,4,
70,common,Austromegabalanus psittacus,giant barnacle,Picoroco,crustaceans,Arthropoda,Thecostraca,Balanomorpha,Balanidae,yes,341,14,http://en.wikipedia.org/wiki/Austromegabalanus_psittacus
70,common,Cyrtograpsus angulatus,,Cangrejo blanco,crustaceans,Arthropoda,Malacostraca,Decapoda,Varunidae,yes,343,1,
70,common,Romaleon setosum,Rock-crabs,Cangrejo peludo,crustaceans,Arthropoda,Malacostraca,Decapoda,Cancridae,yes,339,2,
70,common,Antholoba achates,Lobed Anemone,Anémona lobulada,cnidarians,Cnidaria,Hexacorallia,Actiniaria,Antholobidae,yes,281,16,
70,common,Chiton magnificus,Pretty Sea Cradle,Chitón guapo,mollusks,Mollusca,Polyplacophora,Chitonida,Chitonidae,yes,284,5,http://en.wikipedia.org/wiki/Chiton_magnificus
70,common,Petrolisthes violaceus,,Tijereta violácea,crustaceans,Arthropoda,Malacostraca,Decapoda,Porcellanidae,yes,284,4,https://en.wikipedia.org/wiki/Petrolisthes_violaceus
70,common,Peltarion spinosulus,Tractor Crab,Cangrejo Peludo,crustaceans,Arthropoda,Malacostraca,Decapoda,Trichopeltariidae,yes,263,2,https://en.wikipedia.org/wiki/Peltarion_spinulosum
70,common,Oulactis concinnata,,Anémona de arena,cnidarians,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,yes,230,14,
70,common,Thyrsites atun,snoek,Sierra,fish_and_vertebrates,Chordata,Teleostei,Scombriformes,Gempylidae,yes,218,6,http://en.wikipedia.org/wiki/Thyrsites
70,common,Cyclograpsus cinereus,Chilean shore crab,,crustaceans,Arthropoda,Malacostraca,Decapoda,Varunidae,yes,217,1,
70,common,Pagurus comptus,Patagonian Hermit Crab,Ermitaño común,crustaceans,Arthropoda,Malacostraca,Decapoda,Paguridae,yes,198,1,
70,common,Tonicia chilensis,Chilean chiton,Tonicia variable,mollusks,Mollusca,Polyplacophora,Chitonida,Chitonidae,yes,179,9,
70,common,Cancer plebejus,Chilean crab,Jaiba Reina,crustaceans,Arthropoda,Malacostraca,Decapoda,Cancridae,yes,168,1,https://en.wikipedia.org/wiki/Cancer_plebejus
70,common,Lessonia trabeculata,,,algae,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,yes,105,63,https://en.wikipedia.org/wiki/Lessonia_trabeculata
70,common,Ceramium virgatum,red seaweed,,algae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,yes,150,7,http://en.wikipedia.org/wiki/Ceramium_virgatum
70,common,Rhynchocinetes typus,Rabbitnose shrimp,Camarón de playa,crustaceans,Arthropoda,Malacostraca,Decapoda,Rhynchocinetidae,yes,145,1,
70,common,Sicyases sanguineus,Intertidal Clingfish,pejesapo,fish_and_vertebrates,Chordata,Teleostei,Gobiesociformes,Gobiesocidae,yes,128,17,http://en.wikipedia.org/wiki/Sicyases_sanguineus
70,common,Scurria scurra,,Gorrito de mar,mollusks,Mollusca,Gastropoda,,Lottiidae,yes,125,13,http://en.wikipedia.org/wiki/Scurria_scurra
70,common,Sebastes oculatus,Patagonian Redfish,Escrófalo,fish_and_vertebrates,Chordata,Teleostei,Perciformes,Sebastidae,yes,134,2,
